router_name,mean_success_rate,mean_cost_per_task_usd,mean_cost_per_success_usd,mean_latency_p50_ms,mean_latency_p95_ms,mean_tool_call_accuracy,mean_fallback_rate,mean_route_stability,mean_robustness_std,benchmarks_covered,is_pareto_optimal
Always-Cheapest Baseline (live),0.8,0.004874670399999988,0.0060933379999999855,42126.58273699344,60633.651070995256,0.8,0.0,1.0,0.14731391274719743,1,True
Prompt-Length Heuristic Baseline (live),0.84,0.21115434959999996,0.25137422571428564,50729.39826898801,88276.09009020375,0.84,0.0,1.0,0.11785113019775789,1,True
Tool-Required Heuristic Baseline (live),0.96,0.2563048799999999,0.2669842499999999,52193.7461290072,61491.73007160134,0.96,0.0,1.0,0.029462782549439452,1,True
