router_name,mean_success_rate,mean_cost_per_task_usd,mean_cost_per_success_usd,mean_latency_p50_ms,mean_latency_p95_ms,mean_tool_call_accuracy,mean_fallback_rate,mean_route_stability,mean_robustness_std,benchmarks_covered,is_pareto_optimal
Aurelio Semantic Router (live),0.6364583333333333,0.07668970520833332,0.22903638452743896,34161.21760267318,75060.35921769065,0.9,0.0,1.0,0.34495215778279176,4,True
vLLM Semantic Router (live),0.6354166666666666,0.05432851687499999,0.06441897911849076,31409.025342987054,50770.74675145486,0.8625,0.0,0.9125,0.31664393833222443,4,True
LiteLLM Router (live),0.6072916666666667,0.14216820187499998,0.34978020418439715,34951.52736399723,83193.8275993425,0.7916666666666667,0.0,1.0,0.1938941720553439,4,False
RouteLLM (live),0.50625,0.0016907906770833334,0.003909659632352942,26537.14271701301,41005.20093470007,0.8,0.0,1.0,0.27262683475555466,4,True
