router_name,benchmark_name,task_id,domain,difficulty,trial,selected_candidate,confidence,fallback_used,success,tool_call_required,tool_call_correct,cost_usd,latency_ms
Aurelio Semantic Router (live),tau2-bench (live),tau2-0,multi_turn_policy,1.0,0,mid-general,0.7,False,True,True,True,0.238749,57175.09210994467
Aurelio Semantic Router (live),tau2-bench (live),tau2-1,multi_turn_policy,1.0,0,mid-general,0.7,False,True,True,True,0.205728,48475.91397201177
Aurelio Semantic Router (live),tau2-bench (live),tau2-2,multi_turn_policy,1.0,0,mid-general,0.7,False,True,True,True,0.180315,47013.64358200226
Aurelio Semantic Router (live),tau2-bench (live),tau2-3,multi_turn_policy,1.0,0,mid-general,0.7,False,True,True,True,0.262146,47350.86050105747
Aurelio Semantic Router (live),tau2-bench (live),tau2-4,multi_turn_policy,1.0,0,mid-general,0.7,False,True,True,True,0.26799,53512.48787296936
Aurelio Semantic Router (live),tau2-bench (live),tau2-5,multi_turn_policy,1.0,0,mid-general,0.7,False,True,True,True,0.332694,67626.75100809429
Aurelio Semantic Router (live),tau2-bench (live),tau2-6,multi_turn_policy,1.0,0,mid-general,0.7,False,True,True,True,0.301347,57372.745724976994
Aurelio Semantic Router (live),tau2-bench (live),tau2-7,multi_turn_policy,1.0,0,mid-general,0.7,False,True,True,True,0.309264,67766.22077194043
RouteLLM (live),tau2-bench (live),tau2-0,multi_turn_policy,1.0,0,cheap-small,0.78186319634814,False,True,True,True,0.00401749,38140.46685001813
RouteLLM (live),tau2-bench (live),tau2-1,multi_turn_policy,1.0,0,cheap-small,0.7818955283280179,False,True,True,True,0.00535997,62317.30365392286
RouteLLM (live),tau2-bench (live),tau2-2,multi_turn_policy,1.0,0,cheap-small,0.7827791087585337,False,False,True,False,0.00486812,43848.38641900569
RouteLLM (live),tau2-bench (live),tau2-3,multi_turn_policy,1.0,0,cheap-small,0.7824328048875231,False,True,True,True,0.00538754,35722.32851095032
RouteLLM (live),tau2-bench (live),tau2-4,multi_turn_policy,1.0,0,cheap-small,0.7819451595884878,False,True,True,True,0.00442973,32716.521252994426
RouteLLM (live),tau2-bench (live),tau2-5,multi_turn_policy,1.0,0,cheap-small,0.7799904118379851,False,False,True,False,0.00834132,74681.88535096124
RouteLLM (live),tau2-bench (live),tau2-6,multi_turn_policy,1.0,0,cheap-small,0.7803019365362922,False,True,True,True,0.00637029,51647.24269194994
RouteLLM (live),tau2-bench (live),tau2-7,multi_turn_policy,1.0,0,cheap-small,0.7805325418012683,False,True,True,True,0.00642158,51573.16737703513
vLLM Semantic Router (live),tau2-bench (live),tau2-0,multi_turn_policy,1.0,0,cheap-small,0.7,False,True,True,True,0.00312554,29532.293268945068
vLLM Semantic Router (live),tau2-bench (live),tau2-1,multi_turn_policy,1.0,0,mid-general,0.7,False,True,True,True,0.207183,62363.28778101597
vLLM Semantic Router (live),tau2-bench (live),tau2-2,multi_turn_policy,1.0,0,mid-general,0.7,False,False,True,False,0.260781,54762.00258103199
vLLM Semantic Router (live),tau2-bench (live),tau2-3,multi_turn_policy,1.0,0,cheap-small,0.7,False,True,True,True,0.0053192399999999,41833.26088497415
vLLM Semantic Router (live),tau2-bench (live),tau2-4,multi_turn_policy,1.0,0,mid-general,0.7,False,True,True,True,0.261531,53743.92884608824
vLLM Semantic Router (live),tau2-bench (live),tau2-5,multi_turn_policy,1.0,0,mid-general,0.7,False,True,True,True,0.330711,71272.96533505432
vLLM Semantic Router (live),tau2-bench (live),tau2-6,multi_turn_policy,1.0,0,mid-general,0.7,False,True,True,True,0.32703,71706.14652300719
vLLM Semantic Router (live),tau2-bench (live),tau2-7,multi_turn_policy,1.0,0,mid-general,0.7,False,True,True,True,0.307641,65180.36648794077
LiteLLM Router (live),tau2-bench (live),tau2-0,multi_turn_policy,1.0,0,strong-frontier,0.6,False,False,True,False,0.302045,49465.364777017385
LiteLLM Router (live),tau2-bench (live),tau2-1,multi_turn_policy,1.0,0,strong-frontier,0.6,False,True,True,True,0.5206,61594.40134302713
LiteLLM Router (live),tau2-bench (live),tau2-2,multi_turn_policy,1.0,0,strong-frontier,0.6,False,True,True,True,0.5645950000000001,56049.30075793527
LiteLLM Router (live),tau2-bench (live),tau2-3,multi_turn_policy,1.0,0,strong-frontier,0.6,False,False,True,False,0.424115,52099.03913701419
LiteLLM Router (live),tau2-bench (live),tau2-4,multi_turn_policy,1.0,0,strong-frontier,0.6,False,True,True,True,0.5643800000000001,53623.90762590803
LiteLLM Router (live),tau2-bench (live),tau2-5,multi_turn_policy,1.0,0,strong-frontier,0.6,False,True,True,True,0.6226750000000001,68139.51390399598
LiteLLM Router (live),tau2-bench (live),tau2-6,multi_turn_policy,1.0,0,strong-frontier,0.6,False,True,True,True,0.5565450000000001,56294.7878310224
LiteLLM Router (live),tau2-bench (live),tau2-7,multi_turn_policy,1.0,0,strong-frontier,0.6,False,True,True,True,0.6044149999999999,56506.15383090917
