router_name,benchmark_name,task_id,domain,difficulty,trial,selected_candidate,confidence,fallback_used,success,tool_call_required,tool_call_correct,cost_usd,latency_ms,router_decision_latency_ms
LiteLLM Router (live),tau2-bench (live),tau2-32,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.006833,65251.60000700271,1.9652149931062013
LiteLLM Router (live),tau2-bench (live),tau2-33,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.005836040000000001,58178.36050799815,3.011797001818195
LiteLLM Router (live),tau2-bench (live),tau2-34,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.004499390000000001,55119.872556999326,2.0342450006864965
LiteLLM Router (live),tau2-bench (live),tau2-35,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00698188,59188.22315800935,1.8433339719194919
LiteLLM Router (live),tau2-bench (live),tau2-36,multi_turn_policy,0.4,0,cheap-small,1.0,False,False,True,False,0.00438224,48885.8104099927,1.9371850066818297
LiteLLM Router (live),tau2-bench (live),tau2-37,multi_turn_policy,0.85,0,cheap-small,1.0,False,True,True,True,0.00765325,53544.20153601677,1.1360780044924468
LiteLLM Router (live),tau2-bench (live),tau2-38,multi_turn_policy,0.85,0,cheap-small,1.0,False,False,True,False,0.0036296000000000006,36638.55146401329,1.7475119966547936
LiteLLM Router (live),tau2-bench (live),tau2-39,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00454434,59397.573922004085,1.9372229871805757
LiteLLM Router (live),tau2-bench (live),tau2-40,multi_turn_policy,0.85,0,cheap-small,1.0,False,True,True,True,0.0041658,49148.776997986715,1.106456998968497
LiteLLM Router (live),tau2-bench (live),tau2-41,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00630615,50769.45338601945,1.683190988842398
LiteLLM Router (live),tau2-bench (live),tau2-42,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0063917900000000005,59861.50444098166,1.8898209964390844
LiteLLM Router (live),tau2-bench (live),tau2-43,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00477803,77365.62298799981,1.8565999926067889
LiteLLM Router (live),tau2-bench (live),tau2-44,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0032934699999999997,33273.66744799656,1.8047390040010214
LiteLLM Router (live),tau2-bench (live),tau2-45,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00467384,47501.05251002242,1.144906011177227
LiteLLM Router (live),tau2-bench (live),tau2-46,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00435442,50980.82408201299,1.9572299788706005
LiteLLM Router (live),tau2-bench (live),tau2-47,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.004149519999999999,47826.69466099469,1.9015789730474353
LiteLLM Router (live),tau2-bench (live),tau2-48,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00378364,52747.495366988005,1.0726749897003174
LiteLLM Router (live),tau2-bench (live),tau2-49,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.0052213500000000005,39903.570231981575,1.8828190222848207
LiteLLM Router (live),tau2-bench (live),tau2-50,multi_turn_policy,0.4,0,cheap-small,1.0,False,True,True,True,0.0020843,32054.956847976428,1.8105279887095094
LiteLLM Router (live),tau2-bench (live),tau2-51,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.0022927399999999997,31755.94927300699,1.0821850155480206
LiteLLM Router (live),tau2-bench (live),tau2-52,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00540531,63553.6052279931,1.6847579972818494
LiteLLM Router (live),tau2-bench (live),tau2-53,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00451231,53053.72697900748,1.085464988136664
LiteLLM Router (live),tau2-bench (live),tau2-54,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.0064399800000000005,55318.561634019716,1.2487150088418275
LiteLLM Router (live),tau2-bench (live),tau2-55,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00644165,62130.977079999866,1.0771249944809824
LiteLLM Router (live),tau2-bench (live),tau2-56,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.00535966,51278.692369000055,1.080343994544819
LiteLLM Router (live),tau2-bench (live),tau2-57,multi_turn_policy,0.25,0,cheap-small,1.0,False,False,True,False,0.0030738500000000004,31352.19896698254,1.1495839862618595
LiteLLM Router (live),tau2-bench (live),tau2-58,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.011753920000000001,87962.42220001295,1.9450880063232034
LiteLLM Router (live),tau2-bench (live),tau2-59,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00273931,33694.22817599843,1.9833770056720823
LiteLLM Router (live),tau2-bench (live),tau2-60,multi_turn_policy,0.85,0,cheap-small,1.0,False,True,True,True,0.0038025,40556.45121500129,1.8028859922196716
LiteLLM Router (live),tau2-bench (live),tau2-61,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0034092400000000004,34885.01619899762,1.7790469864849001
LiteLLM Router (live),tau2-bench (live),tau2-62,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.004235860000000001,43239.03659300413,2.009357005590573
LiteLLM Router (live),tau2-bench (live),tau2-63,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.006617239999999999,58974.535315996036,1.943897019373253
LiteLLM Router (live),tau2-bench (live),tau2-64,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.004348229999999999,38776.20310001657,1.0537039779592305
LiteLLM Router (live),tau2-bench (live),tau2-65,multi_turn_policy,0.7,0,cheap-small,1.0,False,True,True,True,0.00258777,32166.814455005806,1.6245559963863343
LiteLLM Router (live),tau2-bench (live),tau2-66,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0034237099999999995,33896.05023499462,1.5073849936015904
LiteLLM Router (live),tau2-bench (live),tau2-67,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00223483,39323.95593399997,1.6489959962200373
LiteLLM Router (live),tau2-bench (live),tau2-68,multi_turn_policy,0.85,0,cheap-small,1.0,False,True,True,True,0.0018943900000000001,25183.66664799396,1.7650460067670792
LiteLLM Router (live),tau2-bench (live),tau2-69,multi_turn_policy,0.85,0,cheap-small,1.0,False,True,True,True,0.00346169,37423.958145984216,1.6627460136078298
LiteLLM Router (live),tau2-bench (live),tau2-70,multi_turn_policy,0.4,0,cheap-small,1.0,False,False,True,False,0.0015895300000000002,19787.31929298374,1.106312993215397
LiteLLM Router (live),tau2-bench (live),tau2-71,multi_turn_policy,0.55,0,cheap-small,1.0,False,False,True,False,0.00926348,82481.81611599284,1.9094669842161238
LiteLLM Router (live),tau2-bench (live),tau2-72,multi_turn_policy,0.55,0,cheap-small,1.0,False,True,True,True,0.007935699999999999,72972.75187299238,1.1589539935812354
LiteLLM Router (live),tau2-bench (live),tau2-73,multi_turn_policy,0.4,0,cheap-small,1.0,False,True,True,True,0.00248238,35623.44701201073,1.7970160115510225
LiteLLM Router (live),tau2-bench (live),tau2-74,multi_turn_policy,0.55,0,cheap-small,1.0,False,True,True,True,0.0068999000000000005,63689.95808498585,1.8261059885844588
LiteLLM Router (live),tau2-bench (live),tau2-75,multi_turn_policy,0.4,0,cheap-small,1.0,False,True,True,True,0.0034577799999999997,34088.700697000604,1.6732460062485188
LiteLLM Router (live),tau2-bench (live),tau2-76,multi_turn_policy,0.55,0,cheap-small,1.0,False,True,True,True,0.011119819999999999,78981.9395870145,1.8883470038417727
LiteLLM Router (live),tau2-bench (live),tau2-77,multi_turn_policy,0.4,0,cheap-small,1.0,False,False,True,False,0.00281102,27471.038285002578,1.061134011251852
LiteLLM Router (live),tau2-bench (live),tau2-78,multi_turn_policy,0.7,0,cheap-small,1.0,False,True,True,True,0.005058450000000001,44068.18554698839,1.1126140016131103
LiteLLM Router (live),tau2-bench (live),tau2-79,multi_turn_policy,0.4,0,cheap-small,1.0,False,True,True,True,0.00491748,50277.78059299453,1.9168569997418672
LiteLLM Router (live),tau2-bench (live),tau2-80,multi_turn_policy,0.4,0,cheap-small,1.0,False,True,True,True,0.0044578,47195.949593995465,1.870095991762355
LiteLLM Router (live),tau2-bench (live),tau2-81,multi_turn_policy,0.55,0,cheap-small,1.0,False,True,True,True,0.0038519500000000003,38407.014872005675,1.6355970001313835
LiteLLM Router (live),tau2-bench (live),tau2-82,multi_turn_policy,0.4,0,cheap-small,1.0,False,False,True,False,0.006319819999999999,68637.39699398866,1.0750280052889138
LiteLLM Router (live),tau2-bench (live),tau2-83,multi_turn_policy,0.4,0,cheap-small,1.0,False,True,True,True,0.00443558,45021.865717018954,1.9716380047611892
LiteLLM Router (live),tau2-bench (live),tau2-84,multi_turn_policy,0.4,0,cheap-small,1.0,False,True,True,True,0.00425323,42691.281709005125,1.8703789974097162
LiteLLM Router (live),tau2-bench (live),tau2-85,multi_turn_policy,0.4,0,cheap-small,1.0,False,True,True,True,0.006461390000000001,57327.977536973776,1.8325489945709705
LiteLLM Router (live),tau2-bench (live),tau2-86,multi_turn_policy,0.55,0,cheap-small,1.0,False,True,True,True,0.00784307,67212.24985600566,2.045029978035018
LiteLLM Router (live),tau2-bench (live),tau2-87,multi_turn_policy,0.85,0,cheap-small,1.0,False,True,True,True,0.0032905200000000003,32036.997255985625,1.0593299812171608
LiteLLM Router (live),tau2-bench (live),tau2-88,multi_turn_policy,0.4,0,cheap-small,1.0,False,False,True,False,0.0035587400000000003,47688.20290698204,1.860271004261449
LiteLLM Router (live),tau2-bench (live),tau2-89,multi_turn_policy,0.4,0,cheap-small,1.0,False,False,True,False,0.0034774600000000004,42705.638770974474,1.8127509974874556
LiteLLM Router (live),tau2-bench (live),tau2-90,multi_turn_policy,0.4,0,cheap-small,1.0,False,False,True,False,0.0028791199999999998,28702.842024998972,1.935082022100687
LiteLLM Router (live),tau2-bench (live),tau2-91,multi_turn_policy,0.55,0,cheap-small,1.0,False,False,True,False,0.00681175,56358.07593399659,1.8866219907067716
LiteLLM Router (live),tau2-bench (live),tau2-92,multi_turn_policy,0.55,0,cheap-small,1.0,False,True,True,True,0.005848019999999999,64316.734487976646,1.831461995607242
LiteLLM Router (live),tau2-bench (live),tau2-93,multi_turn_policy,0.4,0,cheap-small,1.0,False,False,True,False,0.0033132099999999996,38386.3327440049,1.8303130054846406
LiteLLM Router (live),tau2-bench (live),tau2-94,multi_turn_policy,0.4,0,cheap-small,1.0,False,True,True,True,0.006447270000000001,56641.758712998126,1.0678019898477942
LiteLLM Router (live),tau2-bench (live),tau2-95,multi_turn_policy,0.55,0,cheap-small,1.0,False,True,True,True,0.00608984,53775.39857701049,1.855893002357334
LiteLLM Router (live),tau2-bench (live),tau2-96,multi_turn_policy,0.55,0,cheap-small,1.0,False,True,True,True,0.004508020000000001,41229.16149100638,1.8249329878017306
LiteLLM Router (live),tau2-bench (live),tau2-97,multi_turn_policy,0.55,0,cheap-small,1.0,False,True,True,True,0.0055615199999999995,50706.936760019744,1.9397730065975338
LiteLLM Router (live),tau2-bench (live),tau2-98,multi_turn_policy,0.7,0,cheap-small,1.0,False,False,True,False,0.008529640000000002,71287.73891201126,1.9257730164099485
LiteLLM Router (live),tau2-bench (live),tau2-99,multi_turn_policy,0.55,0,cheap-small,1.0,False,False,True,False,0.008335200000000001,77110.63999700127,1.1215319973416626
Aurelio Semantic Router (live),tau2-bench (live),tau2-0,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.274749,61270.49975900445,406.65917299338616
Aurelio Semantic Router (live),tau2-bench (live),tau2-1,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.234162,48317.336620006245,523.0173990130424
Aurelio Semantic Router (live),tau2-bench (live),tau2-2,multi_turn_policy,1.0,0,mid-general,0.0,True,False,True,False,0.22856100000000001,46943.86171302176,422.56011700374074
Aurelio Semantic Router (live),tau2-bench (live),tau2-3,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.254544,45817.43364498834,362.9898719955236
Aurelio Semantic Router (live),tau2-bench (live),tau2-4,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.296595,49928.4491110011,465.07242700317875
Aurelio Semantic Router (live),tau2-bench (live),tau2-5,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.35881500000000005,75300.74788699858,448.8752119941637
Aurelio Semantic Router (live),tau2-bench (live),tau2-6,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.302223,62818.84331800393,474.3055229773745
Aurelio Semantic Router (live),tau2-bench (live),tau2-7,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.298632,70969.38200699515,461.93619500263594
Aurelio Semantic Router (live),tau2-bench (live),tau2-8,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.30373800000000006,64000.67445100285,452.7284020150546
Aurelio Semantic Router (live),tau2-bench (live),tau2-9,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.31023000000000006,68767.9505069973,561.217602022225
Aurelio Semantic Router (live),tau2-bench (live),tau2-10,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.18301800000000001,41086.226571002044,452.6947590056807
Aurelio Semantic Router (live),tau2-bench (live),tau2-11,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.238164,54532.62722000363,280.62548002344556
Aurelio Semantic Router (live),tau2-bench (live),tau2-12,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.18738900000000003,44910.06756699062,555.8733469806612
Aurelio Semantic Router (live),tau2-bench (live),tau2-13,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.191112,49927.97217599582,553.6314400087576
Aurelio Semantic Router (live),tau2-bench (live),tau2-14,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.216174,59187.29124599486,800.274248002097
Aurelio Semantic Router (live),tau2-bench (live),tau2-15,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.313317,65080.13319800375,672.5051109970082
Aurelio Semantic Router (live),tau2-bench (live),tau2-16,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.291474,61087.94134602067,658.1132059800439
Aurelio Semantic Router (live),tau2-bench (live),tau2-17,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.13378800000000002,26377.33508698875,555.4303940152749
Aurelio Semantic Router (live),tau2-bench (live),tau2-18,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.317673,57516.20595398708,447.8586300101597
Aurelio Semantic Router (live),tau2-bench (live),tau2-19,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.251232,56069.33534599375,642.9490849841386
Aurelio Semantic Router (live),tau2-bench (live),tau2-20,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.305583,58332.3330610001,246.8942230043467
Aurelio Semantic Router (live),tau2-bench (live),tau2-21,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.366831,69050.05975300446,851.5234880032949
Aurelio Semantic Router (live),tau2-bench (live),tau2-22,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.293883,59059.75791098899,988.5263280011714
Aurelio Semantic Router (live),tau2-bench (live),tau2-23,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.6498120000000001,98062.19667100231,533.3952460205182
Aurelio Semantic Router (live),tau2-bench (live),tau2-24,multi_turn_policy,0.25,0,mid-general,0.0,True,True,True,True,0.152286,39376.67647699709,238.8005769753363
Aurelio Semantic Router (live),tau2-bench (live),tau2-25,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.20081400000000002,41642.00270999572,761.9461769936606
Aurelio Semantic Router (live),tau2-bench (live),tau2-26,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.15624,33531.212227011565,545.1968509878498
Aurelio Semantic Router (live),tau2-bench (live),tau2-27,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.224058,48289.104292023694,462.87132397992536
Aurelio Semantic Router (live),tau2-bench (live),tau2-28,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.371466,62712.243087997194,450.9406280121766
Aurelio Semantic Router (live),tau2-bench (live),tau2-29,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.290943,64252.26972598466,566.918122000061
Aurelio Semantic Router (live),tau2-bench (live),tau2-30,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.575049,86500.2897529921,462.29212000616826
Aurelio Semantic Router (live),tau2-bench (live),tau2-31,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.393225,66921.35642000358,741.8085589888506
Aurelio Semantic Router (live),tau2-bench (live),tau2-32,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.47149199999999997,77069.87434299663,660.5143500200938
Aurelio Semantic Router (live),tau2-bench (live),tau2-33,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.17619,40922.10662498837,547.3876199976075
Aurelio Semantic Router (live),tau2-bench (live),tau2-34,multi_turn_policy,1.0,0,mid-general,0.0,True,False,True,False,0.148863,42958.33967899671,445.55797599605285
