router_name,mean_success_rate,mean_cost_per_task_usd,mean_cost_per_success_usd,mean_latency_p50_ms,mean_latency_p95_ms,mean_tool_call_accuracy,mean_fallback_rate,mean_route_stability,mean_robustness_std,benchmarks_covered,is_pareto_optimal
NVIDIA AI Blueprint LLM Router (live),0.0,0.0,,10629.812646497157,12912.251817979268,0.0,0.0,1.0,0.0,1,True
vLLM Semantic Router (live),0.0,0.0,,10709.737762488658,13634.154431147908,0.0,0.64,1.0,0.0,1,True
LLMRouter (live),0.07,0.00039895289999999597,0.005699327142857085,10638.156933506252,39578.16987328696,0.07,0.0,1.0,0.05857176643952725,1,True
RouteLLM (live),0.68,0.005062622599999988,0.0074450332352941,41741.052196506644,68168.94754699897,0.68,0.0,1.0,0.10712920375821382,1,True
LiteLLM Router (live),0.69,0.005098652699999981,0.007389351739130408,47419.414873511414,77123.3891465512,0.69,0.0,1.0,0.3969881748731417,1,True
Aurelio Semantic Router (live),0.91,0.25840110180000003,0.2839572547252748,53045.15216150321,77297.472138163,0.91,0.97,1.0,0.05558021291469061,1,True
