router_name,mean_success_rate,mean_cost_per_task_usd,mean_cost_per_success_usd,mean_latency_p50_ms,mean_latency_p95_ms,mean_tool_call_accuracy,mean_fallback_rate,mean_route_stability,mean_robustness_std,benchmarks_covered,is_pareto_optimal
LLMRouter (live),0.25,0.03474825,0.138993,109186.31272995844,544484.5521580075,,1.0,1.0,,1,True
Aurelio Semantic Router (live),0.125,0.02963325,0.237066,133349.7360710753,149617.31083868654,,1.0,1.0,,1,False
LiteLLM Router (live),0.125,0.028924125,0.231393,80843.73836149462,121448.58253984127,,0.0,1.0,,1,False
NVIDIA AI Blueprint LLM Router (live),0.125,0.033073875,0.264591,99987.91753099067,146325.76592044206,,1.0,1.0,,1,False
RouteLLM (live),0.125,0.02886675,0.230934,116663.08008105261,536787.5755518788,,1.0,1.0,,1,False
vLLM Semantic Router (live),0.125,0.02879025,0.230322,117089.75305355852,151598.6014916212,,1.0,1.0,,1,True
