router_name,mean_success_rate,mean_cost_per_task_usd,mean_cost_per_success_usd,mean_latency_p50_ms,mean_latency_p95_ms,mean_tool_call_accuracy,mean_fallback_rate,mean_route_stability,mean_robustness_std,benchmarks_covered,is_pareto_optimal
LiteLLM Router (live),0.0,0.0008609500000000001,,29245.659930980764,42557.30461713392,,0.0,1.0,,1,False
RouteLLM (live),0.0,0.0007909500000000001,,84844.6956720436,135642.1297590481,,0.0,1.0,,1,True
