router_name,mean_success_rate,mean_cost_per_task_usd,mean_cost_per_success_usd,mean_latency_p50_ms,mean_latency_p95_ms,mean_tool_call_accuracy,mean_fallback_rate,mean_route_stability,mean_robustness_std,benchmarks_covered,is_pareto_optimal
Aurelio Semantic Router (live),0.75,0.120060375,0.1600805,89746.68242400003,717890.9309901514,0.75,0.0,1.0,,1,True
NVIDIA AI Blueprint LLM Router (live),0.5,0.09092491375,0.1818498275,99367.90823700358,644505.8021260501,0.5,0.0,1.0,,1,True
RouteLLM (live),0.375,0.013105486250000001,0.03494796333333334,94018.07326699782,726878.5458198502,0.375,0.0,1.0,,1,True
LiteLLM Router (live),0.25,0.00454926,0.01819704,71275.80884149938,515645.53352864884,0.25,0.0,1.0,,1,True
LLMRouter (live),0.125,0.017920121249999997,0.14336096999999998,84374.75314600306,761743.1229858013,0.125,0.0,1.0,,1,False
vLLM Semantic Router (live),0.125,0.028275997499999997,0.22620797999999998,168740.781130502,924739.9922680022,0.125,0.0,1.0,,1,False
