router_name,mean_success_rate,mean_cost_per_task_usd,mean_cost_per_success_usd,mean_latency_p50_ms,mean_latency_p95_ms,mean_tool_call_accuracy,mean_fallback_rate,mean_route_stability,mean_robustness_std,benchmarks_covered,is_pareto_optimal
RouteLLM (live),0.88,0.004906427600000001,0.00557548590909091,43697.24871800281,72341.46906099776,0.88,0.0,1.0,0.08838834764831845,1,True
Aurelio Semantic Router (live),0.8,0.26280492,0.32850615000000005,53885.1402270011,74790.76267680648,0.8,1.0,1.0,0.14731391274719743,1,False
LiteLLM Router (live),0.8,0.005439018,0.0067987724999999995,51704.5786910021,77496.75430639906,0.8,0.0,1.0,0.14731391274719743,1,False
vLLM Semantic Router (live),0.8,0.0055039972,0.006879996500000001,49431.74779199762,78834.9428204019,0.8,0.0,1.0,0.14731391274719743,1,False
