router_name,benchmark_name,task_id,domain,difficulty,trial,selected_candidate,confidence,fallback_used,success,tool_call_required,tool_call_correct,cost_usd,latency_ms,router_decision_latency_ms
Aurelio Semantic Router (live),tau2-bench (live),tau2-7,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.283047,66008.7293569959,351.6522889985936
Aurelio Semantic Router (live),tau2-bench (live),tau2-8,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.30726,75195.79517500097,471.3185729997349
Aurelio Semantic Router (live),tau2-bench (live),tau2-9,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.3282,58870.88028300059,640.8549600018887
Aurelio Semantic Router (live),tau2-bench (live),tau2-10,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.18474300000000002,37496.34312099806,576.6309819955495
Aurelio Semantic Router (live),tau2-bench (live),tau2-11,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.23838299999999996,43947.89430200035,389.07937800104264
Aurelio Semantic Router (live),tau2-bench (live),tau2-12,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.18727500000000002,38927.90354799945,1008.0013150000013
Aurelio Semantic Router (live),tau2-bench (live),tau2-13,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.189036,42306.79362699448,489.85291500139283
Aurelio Semantic Router (live),tau2-bench (live),tau2-14,multi_turn_policy,1.0,0,mid-general,0.0,True,False,True,False,0.118872,27682.23920899618,904.7389839979587
Aurelio Semantic Router (live),tau2-bench (live),tau2-15,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.23572500000000005,53885.1402270011,372.6663239940535
Aurelio Semantic Router (live),tau2-bench (live),tau2-16,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.332901,59617.75230899366,492.4940560013056
Aurelio Semantic Router (live),tau2-bench (live),tau2-17,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.134469,28502.548429001763,6423.459395002283
Aurelio Semantic Router (live),tau2-bench (live),tau2-18,multi_turn_policy,1.0,0,mid-general,0.0,True,False,True,False,0.26597400000000004,48967.08450499864,272.4866650023614
Aurelio Semantic Router (live),tau2-bench (live),tau2-19,multi_turn_policy,1.0,0,mid-general,0.0,True,False,True,False,0.27198599999999995,57262.39943400287,486.43885899946326
Aurelio Semantic Router (live),tau2-bench (live),tau2-20,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.384432,74783.08787200513,386.9414279979537
Aurelio Semantic Router (live),tau2-bench (live),tau2-21,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.43410600000000005,74792.68137800682,583.6548279985436
Aurelio Semantic Router (live),tau2-bench (live),tau2-22,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.257799,43346.1634119958,680.6706100032898
Aurelio Semantic Router (live),tau2-bench (live),tau2-23,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.274875,58588.20002900029,574.3778630057932
Aurelio Semantic Router (live),tau2-bench (live),tau2-24,multi_turn_policy,0.25,0,mid-general,0.0,True,True,True,True,0.22665,53036.12042200257,926.2248049999471
RouteLLM (live),tau2-bench (live),tau2-0,multi_turn_policy,1.0,0,cheap-small,0.7818631963481352,False,True,True,True,0.0035808899999999993,31741.99644899636,2111.1249609966762
RouteLLM (live),tau2-bench (live),tau2-1,multi_turn_policy,1.0,0,cheap-small,0.7819173714115706,False,True,True,True,0.00526895,42533.633282000665,2312.348995998036
RouteLLM (live),tau2-bench (live),tau2-2,multi_turn_policy,1.0,0,cheap-small,0.7827791087585193,False,False,True,False,0.004552130000000001,43578.099753998686,9819.583418997354
RouteLLM (live),tau2-bench (live),tau2-3,multi_turn_policy,1.0,0,cheap-small,0.7824328048875155,False,True,True,True,0.00582705,39380.57669399859,2277.7075440026238
RouteLLM (live),tau2-bench (live),tau2-4,multi_turn_policy,1.0,0,cheap-small,0.7819473817431065,False,True,True,True,0.004340840000000001,41025.11306800443,2387.66018399474
RouteLLM (live),tau2-bench (live),tau2-5,multi_turn_policy,1.0,0,cheap-small,0.7799904118379828,False,False,True,False,0.00633917,60051.74079399876,2475.2306759983185
RouteLLM (live),tau2-bench (live),tau2-6,multi_turn_policy,1.0,0,cheap-small,0.7803019365362761,False,True,True,True,0.0046462299999999995,44230.58806500194,2495.4145290030283
RouteLLM (live),tau2-bench (live),tau2-7,multi_turn_policy,1.0,0,cheap-small,0.78053227728584,False,True,True,True,0.00537734,58646.92722399923,2458.902799000498
RouteLLM (live),tau2-bench (live),tau2-8,multi_turn_policy,1.0,0,cheap-small,0.7806851202948091,False,True,True,True,0.005031860000000001,42565.255605994025,2397.306042003038
RouteLLM (live),tau2-bench (live),tau2-9,multi_turn_policy,1.0,0,cheap-small,0.7812411174016611,False,True,True,True,0.0047502,41061.28535699827,2155.9978910008795
RouteLLM (live),tau2-bench (live),tau2-10,multi_turn_policy,1.0,0,cheap-small,0.7792380207626564,False,True,True,True,0.004402039999999999,56376.728531999106,2358.4690909992787
RouteLLM (live),tau2-bench (live),tau2-11,multi_turn_policy,1.0,0,cheap-small,0.7781534319898226,False,True,True,True,0.00443309,49310.45393599925,2012.8433130012127
RouteLLM (live),tau2-bench (live),tau2-12,multi_turn_policy,1.0,0,cheap-small,0.7857404151628202,False,True,True,True,0.00371923,40025.72482499818,2075.4336319951108
RouteLLM (live),tau2-bench (live),tau2-13,multi_turn_policy,1.0,0,cheap-small,0.7871191668158928,False,True,True,True,0.0038860600000000006,47527.48937599972,2218.7683330048458
RouteLLM (live),tau2-bench (live),tau2-14,multi_turn_policy,1.0,0,cheap-small,0.7838141445673539,False,True,True,True,0.0031600699999999996,38687.38577499607,2061.3180919972365
RouteLLM (live),tau2-bench (live),tau2-15,multi_turn_policy,1.0,0,cheap-small,0.7858402304157122,False,True,True,True,0.0040406899999999996,38506.94030200248,2042.296890002035
RouteLLM (live),tau2-bench (live),tau2-16,multi_turn_policy,1.0,0,cheap-small,0.7831021969573353,False,True,True,True,0.00398068,47161.026338995725,2345.2271509959246
RouteLLM (live),tau2-bench (live),tau2-17,multi_turn_policy,1.0,0,cheap-small,0.7760886998259181,False,True,True,True,0.00197993,29524.72318999935,2289.778546000889
RouteLLM (live),tau2-bench (live),tau2-18,multi_turn_policy,1.0,0,cheap-small,0.7827157292398111,False,True,True,True,0.00456884,43697.24871800281,2260.0550310016843
RouteLLM (live),tau2-bench (live),tau2-19,multi_turn_policy,1.0,0,cheap-small,0.7821068386138054,False,True,True,True,0.006781239999999999,67005.83200899564,2376.276565999433
RouteLLM (live),tau2-bench (live),tau2-20,multi_turn_policy,1.0,0,cheap-small,0.780045909446994,False,True,True,True,0.00893025,73675.3783239983,2612.2593589971075
RouteLLM (live),tau2-bench (live),tau2-21,multi_turn_policy,1.0,0,cheap-small,0.776027335408663,False,True,True,True,0.0077807599999999985,76300.95500300376,2210.491779005679
RouteLLM (live),tau2-bench (live),tau2-22,multi_turn_policy,1.0,0,cheap-small,0.7813503254449068,False,False,True,False,0.00558886,48985.065050997946,6686.163081001723
RouteLLM (live),tau2-bench (live),tau2-23,multi_turn_policy,1.0,0,cheap-small,0.7815214907153233,False,True,True,True,0.006646680000000001,55612.20886999945,2280.1823780027917
RouteLLM (live),tau2-bench (live),tau2-24,multi_turn_policy,0.25,0,cheap-small,0.7818665925801374,False,True,True,True,0.00304761,40057.184557001165,2478.514549002284
vLLM Semantic Router (live),tau2-bench (live),tau2-0,multi_turn_policy,1.0,0,cheap-small,0.7,False,True,True,True,0.0034525800000000002,43486.27841700363,1274.8779840039788
vLLM Semantic Router (live),tau2-bench (live),tau2-1,multi_turn_policy,1.0,0,cheap-small,0.7,False,True,True,True,0.00432601,48213.584917000844,849.289284000406
vLLM Semantic Router (live),tau2-bench (live),tau2-2,multi_turn_policy,1.0,0,cheap-small,0.7,False,False,True,False,0.0046768,39244.612317001156,839.4263919981313
vLLM Semantic Router (live),tau2-bench (live),tau2-3,multi_turn_policy,1.0,0,cheap-small,0.7,False,True,True,True,0.00432748,39837.6556889998,990.73492000025
vLLM Semantic Router (live),tau2-bench (live),tau2-4,multi_turn_policy,1.0,0,cheap-small,0.7,False,True,True,True,0.0045947,43316.298024998105,915.8955000020796
